0.000096,0.000280
0.000624,0.000282
0.117148,0.000489
0.250562,0.000620
0.383895,0.000672
0.517060,0.000672
0.650470,0.000640
0.783827,0.000578
0.916973,0.000498
1.050360,0.000416
1.183765,0.000339
1.316894,0.000269
1.450257,0.000208
1.583664,0.000156
1.716818,0.000110
1.848672,0.000071
1.929562,0.000042
1.967185,0.000029
1.984449,0.000024
1.992720,0.000022
1.992908,0.000022
1.993097,0.000022
1.993539,0.000020
1.994459,-0.000032
1.994860,-0.000143
1.995836,-0.000490
1.996872,-0.001028
1.998205,-0.001942
1.999200,-0.002849
1.999710,-0.003448
2.000277,-0.004332
2.000734,-0.005313
2.001142,-0.006626
2.001351,-0.007778
2.001412,-0.008405
2.001430,-0.008726
2.001436,-0.008894
2.001438,-0.008977
2.001440,-0.009111
2.009135,-0.102706
2.015503,-0.236223
2.018168,-0.369525
2.018899,-0.502885
2.018681,-0.636297
2.018028,-0.769520
2.017333,-0.886602
2.017039,-0.945749
2.016908,-0.973948
2.016861,-0.987527
2.016839,-0.992858
2.016839,-0.992874
2.016839,-0.992890
2.016837,-0.992656
2.016703,-0.991512
2.016414,-0.990377
2.015968,-0.989268
2.015374,-0.988218
2.014727,-0.987290
2.013836,-0.986366
2.012913,-0.985644
2.011890,-0.985042
2.010784,-0.984576
2.009650,-0.984268
2.009091,-0.984191
2.008699,-0.984168
2.008534,-0.984170
2.008454,-0.984172
2.008429,-0.984173
2.008433,-0.984173
2.090052,-0.981174
2.223534,-0.977074
2.356796,-0.975886
2.490238,-0.976256
2.623633,-0.977467
2.756768,-0.979104
2.890124,-0.980892
3.023435,-0.982685
3.156554,-0.984409
3.267348,-0.985520
3.320848,-0.986070
3.346446,-0.986298
3.358686,-0.986416
3.363494,-0.986450
3.363423,-0.986449
3.363353,-0.986449
3.363437,-0.986450
3.363051,-0.986553
3.362068,-0.986850
3.360812,-0.987407
3.359684,-0.988102
3.358680,-0.988920
3.358246,-0.989395
3.357664,-0.990212
3.357006,-0.991463
3.356554,-0.992667
3.356258,-0.993947
3.356169,-0.994670
3.356275,-0.993182
3.356277,-0.993213
3.356282,-0.993149
3.356284,-0.993043
3.356313,-0.988731
3.350173,-0.884433
3.346346,-0.750898
3.345707,-0.617592
3.346740,-0.484179
3.348664,-0.350852
3.350983,-0.217711
3.353402,-0.084382
3.355760,0.048932
3.357992,0.182001
3.360079,0.315334
3.362005,0.448654
3.363777,0.581729
3.365427,0.715061
3.366961,0.848400
3.368383,0.981526
3.369725,1.114810
3.371000,1.248161
3.372208,1.381297
3.373360,1.514581
3.374476,1.647922
3.375554,1.781072
3.376596,1.914400
3.377618,2.047694
3.378618,2.180851
3.379597,2.314194
3.380557,2.447486
3.381508,2.580634
3.382450,2.713990
3.383356,2.845303
3.383381,2.926379
3.383445,2.964899
3.383520,2.983079
3.383579,2.992848
3.383579,2.992878
3.383578,2.992907
3.383583,2.992843
3.383700,2.991714
3.383972,2.990587
3.384487,2.989274
3.385009,2.988300
3.385659,2.987405
3.386076,2.986939
3.386274,2.986742
3.386354,2.986667
3.386369,2.986653
3.386351,2.986669
3.342452,3.028756
3.246767,3.121101
3.149469,3.212165
3.051422,3.302448
2.953147,3.392186
2.854509,3.481916
2.755831,3.571578
2.664079,3.654852
2.614763,3.699853
2.591600,3.720892
2.580545,3.730969
2.577052,3.734119
2.577072,3.734101
2.577091,3.734084
2.575198,3.735746
2.574147,3.736643
2.575162,3.736094
